code,name
"1","Administración de bases de datos"
"2","Administración de personal"
"3","Aduanas"
"4","Equipo de cómputo"
"5","Equipo médico"
"6","Estados Financieros"
"7","Fiscal / Tributario"
"8","Fusiones / Adquisiciones / Escisiones"
"9","Inmuebles"
"10","Instrumentos Financieros"
"11","Inversiones"
"12","Manejo de registros"
"13","Manejo de residuos"
"14","Maquinaria y Equipo Industrial"
"15","Mobiliario y equipo de oficina"
"16","Nómina"
"17","Reingeniería de procesos"
"18","Transporte / Distribución de mercancías"
"19","Traslado de personal y escolar"
"20","Valores / Obras de arte / Joyas / Relojes"
"21","Vehículos Aéreos"
"22","Vehículos Marítimos"
"23","Vehículos Terrestres"
"99","Otro"
