code,name,decimals
"AED","Dirham de EAU","2"
"AFN","Afghani","2"
"ALL","Lek","2"
"AMD","Dram armenio","2"
"ANG","Florín antillano neerlandés","2"
"AOA","Kwanza","2"
"ARS","Peso Argentino","2"
"AUD","Dólar Australiano","2"
"AWG","Aruba Florin","2"
"AZN","Azerbaijanian Manat","2"
"BAM","Convertibles marca","2"
"BBD","Dólar de Barbados","2"
"BDT","Taka","2"
"BGN","Lev búlgaro","2"
"BHD","Dinar de Bahrein","3"
"BIF","Burundi Franc","0"
"BMD","Dólar de Bermudas","2"
"BND","Dólar de Brunei","2"
"BOB","Boliviano","2"
"BOV","Mvdol","2"
"BRL","Real brasileño","2"
"BSD","Dólar de las Bahamas","2"
"BTN","Ngultrum","2"
"BWP","Pula","2"
"BYR","Rublo bielorruso","0"
"BZD","Dólar de Belice","2"
"CAD","Dólar Canadiense","2"
"CDF","Franco congoleño","2"
"CHE","WIR Euro","2"
"CHF","Franco Suizo","2"
"CHW","Franc WIR","2"
"CLF","Unidad de Fomento","4"
"CLP","Peso chileno","0"
"CNY","Yuan Renminbi","2"
"COP","Peso Colombiano","2"
"COU","Unidad de Valor real","2"
"CRC","Colón costarricense","2"
"CUC","Peso Convertible","2"
"CUP","Peso Cubano","2"
"CVE","Cabo Verde Escudo","2"
"CZK","Corona checa","2"
"DJF","Franco de Djibouti","0"
"DKK","Corona danesa","2"
"DOP","Peso Dominicano","2"
"DZD","Dinar argelino","2"
"EGP","Libra egipcia","2"
"ERN","Nakfa","2"
"ETB","Birr etíope","2"
"EUR","Euro","2"
"FJD","Dólar de Fiji","2"
"FKP","Libra malvinense","2"
"GBP","Libra Esterlina","2"
"GEL","Lari","2"
"GHS","Cedi de Ghana","2"
"GIP","Libra de Gibraltar","2"
"GMD","Dalasi","2"
"GNF","Franco guineano","0"
"GTQ","Quetzal","2"
"GYD","Dólar guyanés","2"
"HKD","Dólar De Hong Kong","2"
"HNL","Lempira","2"
"HRK","Kuna","2"
"HTG","Gourde","2"
"HUF","Florín","2"
"IDR","Rupia","2"
"ILS","Nuevo Shekel Israelí","2"
"INR","Rupia india","2"
"IQD","Dinar iraquí","3"
"IRR","Rial iraní","2"
"ISK","Corona islandesa","0"
"JMD","Dólar Jamaiquino","2"
"JOD","Dinar jordano","3"
"JPY","Yen","0"
"KES","Chelín keniano","2"
"KGS","Som","2"
"KHR","Riel","2"
"KMF","Franco Comoro","0"
"KPW","Corea del Norte ganó","2"
"KRW","Won","0"
"KWD","Dinar kuwaití","3"
"KYD","Dólar de las Islas Caimán","2"
"KZT","Tenge","2"
"LAK","Kip","2"
"LBP","Libra libanesa","2"
