code,name,symbol
"18","Tambor de cincuenta y cinco galones (EUA)",""
"19","Camión cisterna",""
"26","Tonelada real",""
"29","Libra por mil pies cuadrados",""
"30","Día de potencia de caballos por tonelada métrica de aire seco",""
"31","Pescar",""
"32","Kilogramo por tonelada métrica seca del aire",""
"36","Pie cúbico por minuto por pie cuadrado","Se requiere factor de conversión"
"44","Bolsa a granel de quinientos kilos",""
"45","Bolsa a granel de trescientos kilos",""
"46","Bolsa a granel de cincuenta libras",""
"47","Bolso de cincuenta libras",""
"48","Carga masiva",""
"53","Kilogramo teórico",""
"54","Tonelada teórica (UK)",""
"62","Por ciento por 1000 horas",""
"63","Tasa de fracaso en el tiempo",""
"64","Libra por pulgada cuadrada, calibre",""
"66","Oersted",""
"69","Escala específica de prueba",""
"71","Voltios amperios por libra",""
"72","Vatio por libra",""
"73","Amperios por centímetro",""
"76","Gauss",""
"78","Kilogauss",""
"84","Kilopound-force por pulgada cuadrada","Unidad de presión que define el número de kilopounds fuerza por pulgada cuadrada. 

Utilice kip por pulgada cuadrada (código común N20)."
"90","Saybold segundo universal",""
"92","Calorías por centímetro cúbico",""
"93","Calorías por gramo","Utilice calorías de la tabla internacional (IT) por gramo (código común D75)."
"94","Unidad de curl",""
"95","Veinte mil galones",""
"96","Diez mil galones (US)",""
"97","Diez kilos de tambor",""
"98","Quince kilos de tambor",""
"05","Ascensor",""
"06","Pequeño aerosol",""
"08","Montón de calor",""
"10","Grupos","Una unidad de conteo que define el número de grupos (grupo: conjunto de elementos clasificados juntos)."
"11","Equipos","Unidad de recuento que define el número de equipos (equipo: un conjunto completo de equipo / materiales / objetos utilizados para un propósito específico)."
"13","Raciones","Una unidad de recuento para definir el número de raciones (ración: una sola porción de las disposiciones)."
"14","Shot","Unidad de medida para liquidos."
"15","Palo, medida militar.","Unidad para el momento de rotación relacionado con la longitud según el sistema de unidades Anglo-Americanas e Imperial."
"16","Tambor de 115 kilogramos",""
"17","Tambor de cien libras",""
"1A","Milla de carros",""
"1B","Recuento de automóviles",""
"1C","Conteo de locomotoras",""
"1D","Caboose count",""
"1E","Coche vacío",""
"1F","Milla de tren",""
"1G","Galón del uso del combustible (los EUA)",""
"1H","Milla de caboose",""
"1I","Tipo de interés fijo","Unidad de cantidad expresada como una tasa predeterminada o conjunto para el uso de una instalación o servicio."
"1J","Tonelada milla",""
"1K","Milla locomotora",""
"1L","Recuento total de automóviles",""
"1M","Milla total del coche",""
"1X","Cuarto de milla",""
"20","Contenedores de veinte pies","Unidad de conteo que define el número de contenedores de transporte que miden 20 pies de longitud."
"21","Contenedor de cuarenta pies","Unidad de conteo que define el número de contenedores de transporte que miden 40 pies de longitud."
"22","Decilitro por gramo",""
"23","Gramo por centímetro cúbico",""
"24","Libra teórica","Unidad de masa que define la masa esperada de material expresado como el número de libras."
"25","Gramo por centímetro cuadrado",""
"27","Tonelada teórica","Unidad de masa que define la masa esperada de material, expresada como el número de toneladas."
"28","Kilogramo por metro cuadrado",""
"2A","Radián por segundo","Es la velocidad de un cuerpo que, con una rotación uniforme alrededor de un eje fijo, gira en 1 segundo, 1 radián."
"2B","Radián por segundo cuadrado","Es la aceleración angular de un cuerpo animado de una rotación uniformemente variada alrededor de un eje fijo, cuya velocidad angular, varía 1 radián por segundo, en 1 segundo."
"2C","Roentgen",""
"2G","Voltios CA","Una unidad de potencial eléctrico en relación a la corriente alterna (CA)."
"2H","Voltios CD","Unidad de potencial eléctrico en relación con corriente directa (CD)."
"2I","Unidad térmica británica (tabla internacional) por hora",""
"2J","Centímetro cúbico por segundo",""
"2K","Pie cúbico por hora",""
"2L","Pie cúbico por minuto",""
"2M","Centímetro por segundo",""
"2N","Decibel","Medida de sonoridad o sensación sonora que es igual a la décima parte de un bel."
