code,name
"4","Administradoras de Fondos para el Retiro"
"7","Almacenes Generales de Depósito"
"10","Arrendadoras Financieras"
"13","Casas de Bolsa"
"16","Casas de Cambio"
"18","Sector Energía"
"19","Empresas de Factoraje Financiero"
"22","Instituciones de Seguros"
"25","Empresas de Servicios a Intermediarios Bursátiles"
"27","Sociedades Financieras Populares"
"28","Servicios Complementarios"
"29","Sociedades Cooperativas de Ahorro y Préstamo"
"30","Organismos de Integración"
"31","Fondos y Fideicomisos de Fomento Económico"
"32","Organismos de Servicio Social"
"34","Inmobiliarias"
"37","Instituciones de Banca de Desarrollo"
"40","Instituciones de Banca Múltiple"
"43","Instituciones de Fianzas"
"46","Oficinas de Representación de Intermediarios Financieros"
"47","Oficinas de Representación de Casas de Bolsa del Exterior en México"
"50","Financiera Rural"
"52","Sociedades de Inversión"
"55","Sociedades Controladoras"
"58","Sociedades de Ahorro y Préstamo"
"61","Sociedades de Información Crediticia"
"64","Sociedades de Inversión Especializadas de Fondos para el Retiro"
"67","Sociedades Financieras de Objeto Limitado"
"68","Sociedades Financieras de Objeto Múltiple Reguladas"
"69","Sociedades Financieras de Objeto Múltiple Reguladas (Entidades No Reguladas)"
"70","Sociedades Operadoras de Sociedades de Inversión"
"71","Sociedades Distribuidoras de Sociedades de Inversión"
"72","Valuadoras de Acciones de Sociedades de Inversión"
"76","Operadores"
"79","Sucursales en el Extranjero"
"85","Uniones de Crédito"
"88","Transmisores de Dinero"
"89","Centros Cambiarios"
"90","Asesores en Inversiones"
"99","Otros Organismos No Financieros"
