key,short_name,name,country,decimal_places
MXN,MXN,Peso mexicano,México,2
USD,USD,Dólar estadounidense,Estados Unidos,2
EUR,EUR,Euro,Unión Europea,2
AED,AED,Dirham de los Emiratos Árabes Unidos,Emiratos Árabes Unidos,2
AFN,AFN,Afgani afgano,Afganistán,2
ALL,ALL,Lek albanés,Albania,2
AMD,AMD,Dram armenio,Armenia,2
ANG,ANG,Florín antillano neerlandés,Antillas Neerlandesas,2
AOA,AOA,Kwanza angoleño,Angola,2
ARS,ARS,Peso argentino,Argentina,2
AUD,AUD,Dólar australiano,Australia,2
AWG,AWG,Florín arubeño,Aruba,2
AZM,AZM,Manat azerbaiyano,Azerbaiyán,2
AZN,AZN,Manat azerbaiyano,Azerbaiyán,2
BAM,BAM,Marco convertible de Bosnia-Herzegovina,Bosnia Y Herzegovina,2
BBD,BBD,Dólar de Barbados,Barbados,2
BDT,BDT,Taka de Bangladesh,Bangladesh,2
BGN,BGN,Lev búlgaro,Bulgaria,2
BHD,BHD,Dinar bahreiní,Bahréin,3
BIF,BIF,Franco burundés,Burundi,0
BMD,BMD,Dólar de Bermuda,Bermudas,2
BND,BND,Dólar de Brunéi,Brunei,2
BOB,BOB,Boliviano,Bolivia,2
BRL,BRL,Real brasileño,Brasil,2
BSD,BSD,Dólar bahameño,Bahamas,2
BTN,BTN,Ngultrum de Bután,Bhutan,2
BWP,BWP,Pula de Botsuana,Botsuana,2
BYR,BYR,Rublo bielorruso,Belarus,2
BZD,BZD,Dólar de Belice,Belice,2
CAD,CAD,Dólar canadiense,Canadá,2
CDF,CDF,"Franco congoleño, o congolés",Republica Democrática Del Congo,2
CHF,CHF,Franco suizo,Suiza,2
CLP,CLP,Peso chileno,Chile,0
CNY,CNY,Yuan chino,China,2
COP,COP,Peso colombiano,Colombia,2
CRC,CRC,Colón costarricense,Costa Rica,2
CSD,CSD,Dinar serbio,Serbia,2
CUC,CUC,Peso cubano convertible,Cuba,2
CUP,CUP,Peso cubano,Cuba,2
CVE,CVE,Escudo caboverdiano,Cabo Verde,2
CZK,CZK,Koruna checa,Chequia,2
DJF,DJF,Franco yibutiano,Yibuti,0
DKK,DKK,Corona danesa,Dinamarca,2
DOP,DOP,Peso dominicano,Republica Dominicana,2
DZD,DZD,Dinar algerino,Argelia,2
EGP,EGP,Libra egipcia,Egipto,2
ERN,ERN,Nakfa eritreo,Eritrea,2
ETB,ETB,Birr etíope,Etiopia,2
FJD,FJD,Dólar fiyiano,Fiyi,2
FKP,FKP,Libra malvinense,Islas Malvinas,2
GBP,GBP,Libra esterlina (libra de Gran Bretaña),Reino Unido,2
GEL,GEL,Lari georgiano,Georgia,2
GHS,GHS,Cedi ghanés,Ghana,2
GIP,GIP,Libra de Gibraltar,Gibraltar,2
GMD,GMD,Dalasi gambiano,Gambia,2
GNF,GNF,Franco guineano,Guinea,0
GTQ,GTQ,Quetzal guatemalteco,Guatemala,2
GYD,GYD,Dólar guyanés,Guyana,2
HKD,HKD,Dólar de Hong Kong,Hong Kong,2
HNL,HNL,Lempira hondureño,Honduras,2
HRK,HRK,Kuna croata,Croacia,2
HTG,HTG,Gourde haitiano,Haití,2
HUF,HUF,Forint húngaro,Hungría,2
IDR,IDR,Rupiah indonesia,Indonesia,2
ILS,ILS,Nuevo shéquel israelí,Israel,2
INR,INR,Rupia india,India,2
